2026-04-11 19:57:12 WARNING  当前进程不具备管理员权限，磁盘 I/O 数据将无法采集，建议以管理员身份运行以获取完整报告。
2026-04-11 19:57:18 INFO     采集 CPU 数据（约 1 秒）...
2026-04-11 19:57:19 INFO     CPU 利用率：13.9%
2026-04-11 19:57:19 INFO     采集内存数据...
2026-04-11 19:57:19 INFO     内存利用率：43.3%，已用 27.6 GB / 共 63.7 GB
2026-04-11 19:57:19 INFO     采集磁盘 I/O 数据...
2026-04-11 19:57:19 INFO     磁盘 I/O：可用
2026-04-11 19:57:19 INFO     采集磁盘分区数据...
2026-04-11 19:57:19 INFO     共 4 个分区
2026-04-11 19:57:19 INFO     生成图表...
2026-04-11 19:57:19 INFO     生成 HTML 报告...
2026-04-11 19:57:19 INFO     发送邮件至：michaeltesla1995@gmail.com ...
2026-04-11 19:57:21 INFO     邮件发送成功！
2026-04-11 20:17:46 INFO     采集 CPU 数据（约 1 秒）...
2026-04-11 20:17:48 INFO     CPU 利用率：10.9%
2026-04-11 20:17:48 INFO     采集内存数据...
2026-04-11 20:17:49 INFO     内存利用率：43.9%，已用 28.0 GB / 总 63.7 GB
2026-04-11 20:17:49 INFO     采集磁盘 I/O 数据（采样窗口 1 秒）...
2026-04-11 20:17:52 INFO     磁盘 I/O 数据可用。
2026-04-11 20:17:52 INFO     采集磁盘分区数据...
2026-04-11 20:17:52 INFO     共 4 个分区。
2026-04-11 20:17:52 INFO     生成图表...
2026-04-11 20:17:52 INFO     生成 HTML 报告...
2026-04-11 20:17:52 INFO     发送邮件至：michaeltesla1995@gmail.com ...
2026-04-11 20:17:54 INFO     邮件发送成功。
